"Variables","VIF"
"Habitat",1.15921868602005
"Mangrove_Dist",1.28876190522017
"Depth",2.62981669638443
"Slope",1.69322687835602
"Curvature",1.0686118349458
"BPI_Fine",1.16489722576945
"BPI_Broad",1.77966516468603
"Rugosity",1.42634807028354
"Mean_Sum_Temp",1.79428732480192
"Mean_Sum_Sal",1.70107426710888
"Mean_Win_Temp",2.19807100464197
"Mean_Win_Sal",2.4595597940077
