"SPECIES_CD","LIFE_STAGE","PRES","N","SOURCE","LON_M","LAT_M","Habitat","Mangrove_Dist","Depth","SD_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Sum_Temp","Sum_DO","Sum_Sal","Win_Temp","Win_DO","Win_Sal"
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",289547.161144374,129047.084710932,"6",6910,-8.43060302734375,0.0801009312272072,1.06316101551056,-0.117477402091026,-0.0604946203529835,-13,271,1.0000319480896,30.4746875762939,6.08553266525269,35.5358390808105,23.6966648101807,6.87961673736572,36.1865730285645
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",290872.183519242,139709.428687595,"6",10264.6669921875,-5.56013679504395,0.179200798273087,2.43778204917908,0.884286880493164,0.20794740319252,402,493,1.0001540184021,30.3348274230957,6.12915992736816,35.6015777587891,23.8217258453369,6.84649276733398,36.002384185791
"LUT GRIS","SUBADULT","PRESENCE",7.875,"REEF VISUAL CENSUS",287597.534511312,118887.293060616,"8",7959.77685546875,-9.44334125518799,0.216285392642021,3.04301691055298,-0.469425201416016,-0.324925512075424,-13,48,1.00004804134369,30.4994201660156,6.07122325897217,35.5358390808105,23.6083927154541,6.93570852279663,35.8344192504883
"LUT GRIS","SUBADULT","PRESENCE",5.5,"REEF VISUAL CENSUS",289753.287012413,128446.89079861,"8",7171.6044921875,-11.1622705459595,0.184853807091713,2.49310398101807,0.525009214878082,0.0673297718167305,402,159,1.00011301040649,30.4816055297852,6.08222627639771,35.5358390808105,23.7309551239014,6.87020587921143,36.1143074035645
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",286777.356400086,115784.42762739,"6",8423.8388671875,-10.624608039856,0.0558884404599667,0.774749577045441,-0.0896224975585938,0.0192544497549534,-13,104,1.0000079870224,30.4730453491211,6.080970287323,35.5358390808105,23.6242485046387,6.93551158905029,35.7553558349609
"LUT GRIS","SUBADULT","PRESENCE",7.663,"REEF VISUAL CENSUS",274870.689819793,90390.8853164793,"5",10291.4169921875,-7.84441804885864,0.0575716681778431,0.806470215320587,0.135898604989052,0.0798095315694809,-13,215,1.00000405311584,30.1866073608398,6.17268753051758,35.5351181030273,23.8990688323975,6.83860874176025,36.3749542236328
"LUT GRIS","SUBADULT","PRESENCE",3.536,"REEF VISUAL CENSUS",263923.64372103,76168.0577468624,"5",9527.6767578125,-6.45957326889038,0.12926410138607,1.78434801101685,-0.351638793945312,-0.00640161195769906,-13,159,1.00004005432129,30.0610542297363,6.1798095703125,35.6007385253906,23.8679695129395,6.90622997283936,36.2101287841797
"LUT GRIS","SUBADULT","PRESENCE",5,"REEF VISUAL CENSUS",289965.582378254,132164.130477988,"6",6891.98486328125,-6.93954610824585,0.0859134271740913,1.20509898662567,-0.181419402360916,-0.0564176216721535,402,326,1.00000703334808,30.4346179962158,6.10233974456787,35.5358390808105,23.6656875610352,6.92842626571655,36.1261787414551
"LUT GRIS","SUBADULT","PRESENCE",7.5,"REEF VISUAL CENSUS",290548.765427956,136589.629636807,"6",8647.3212890625,-11.1861953735352,0.53598028421402,7.48516988754272,-0.116313897073269,-0.528160989284515,-13,104,1.00019299983978,30.3697624206543,6.12234687805176,35.556770324707,23.7344722747803,6.89833068847656,36.0115089416504
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",274919.682619328,89734.2423925868,"8",10612.7265625,-10.0719871520996,0.228664800524712,3.05234003067017,-0.0415992699563503,-0.374076187610626,402,48,1.00028002262115,30.1547737121582,6.17617988586426,35.5243873596191,23.9427337646484,6.82752895355225,36.3441162109375
"LUT GRIS","SUBADULT","PRESENCE",5.25,"REEF VISUAL CENSUS",274559.931326699,89323.4951269222,"8",10422.5546875,-8.63888835906982,0.0851656198501587,1.17460000514984,0.0502548217773438,-0.0685451030731201,-13,104,1.00001096725464,30.1459369659424,6.17739534378052,35.5296363830566,23.9094429016113,6.83579683303833,36.358642578125
"LUT GRIS","SUBADULT","PRESENCE",2,"REEF VISUAL CENSUS",290870.494700511,143783.143751077,"6",13776.099609375,-7.39154624938965,0.0188100002706051,0.255185097455978,-0.0792732164263725,-0.0555612705647945,-13,438,1.00000095367432,30.3604011535645,6.09075450897217,35.5405540466309,23.6728076934814,6.92060518264771,35.5990982055664
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",280750.665339103,104697.492516647,"1",8431.458984375,-9.53645324707031,0.0674404427409172,0.922075510025024,0.305282592773438,0.125480502843857,-13,48,1.00001502037048,30.3424377441406,6.16052293777466,35.6150817871094,23.6860961914062,6.87754058837891,36.3758010864258
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",290789.409854742,139471.775763097,"6",10080.255859375,-3.49405717849731,0.10610319674015,1.49194800853729,0.217162102460861,0.144941002130508,-13,605,1.0000079870224,30.333890914917,6.13094711303711,35.6042633056641,23.8223609924316,6.84349393844604,36.0251083374023
"LUT GRIS","SUBADULT","ABSENCE",0,"REEF VISUAL CENSUS",290091.650834285,133742.600188923,"6",7006.8125,-4.74651765823364,0.0679189413785934,0.839494287967682,0.521736085414886,0.140204906463623,402,326,1.00007498264313,30.4108009338379,6.10989332199097,35.5358390808105,23.6665229797363,6.93400382995605,36.0947494506836
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",287789.836449315,120563.623988024,"8",7724.14208984375,-4.09854507446289,0.0567067787051201,0.768690526485443,-0.134544402360916,0.016256770119071,-13,326,1.00001001358032,30.5079326629639,6.0687198638916,35.5358390808105,23.5960559844971,6.93570852279663,35.9630126953125
"LUT GRIS","SUBADULT","PRESENCE",1.5,"REEF VISUAL CENSUS",286364.53620304,114556.495757988,"6",8518.3212890625,-6.23725652694702,0.0729886367917061,1.00130796432495,-0.144269898533821,0.0532073117792606,-13,326,1.00002801418304,30.4601249694824,6.0878849029541,35.5358390808105,23.6358242034912,6.92783546447754,35.7720565795898
"LUT GRIS","SUBADULT","PRESENCE",3.5,"REEF VISUAL CENSUS",286393.817437564,114542.281703879,"6",8554.53515625,-6.37185001373291,0.0499350912868977,0.685938119888306,0.164611801505089,-0.0296834297478199,-13,326,1.00001299381256,30.4599075317383,6.08774518966675,35.5358390808105,23.6386318206787,6.92783260345459,35.7678642272949
"LUT GRIS","SUBADULT","PRESENCE",12.069,"REEF VISUAL CENSUS",287794.209068186,120356.483609981,"8",7659.14208984375,-5.53088426589966,0.13459700345993,1.86098599433899,-0.0689716264605522,-0.0111840600147843,-13,215,1.00005400180817,30.5071849822998,6.06900835037231,35.5358390808105,23.5993995666504,6.93570852279663,35.9401512145996
"LUT GRIS","SUBADULT","PRESENCE",1.875,"REEF VISUAL CENSUS",287778.329039122,120323.144141354,"8",7637.0712890625,-5.9919319152832,0.0463611409068108,0.650381624698639,-0.099126823246479,-0.0239096693694592,-13,215,1.00000596046448,30.5070190429688,6.06908559799194,35.5358390808105,23.5986499786377,6.93570852279663,35.9395904541016
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",286521.361995295,114743.620652918,"5",8594.62109375,-8.12107467651367,0.134733200073242,1.75419294834137,-0.452764511108398,-0.103592000901699,-13,215,1.00010001659393,30.4620361328125,6.0861291885376,35.5358390808105,23.6403579711914,6.93003749847412,35.7557983398438
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",286532.54029278,114727.074857899,"5",8617.9052734375,-8.47224426269531,0.102824099361897,1.37515699863434,-0.165435805916786,0.0348335318267345,-13,215,1.00007104873657,30.4617900848389,6.0861029624939,35.5358390808105,23.6422061920166,6.92994213104248,35.7533950805664
"LUT GRIS","SUBADULT","ABSENCE",0,"REEF VISUAL CENSUS",287421.59695203,119173.080986344,"6",7661.72607421875,-6.83800745010376,0.0291124898940325,0.388425797224045,-0.0471115112304688,0.00490324897691607,-13,159,1.00000298023224,30.5007591247559,6.07146549224854,35.5358390808105,23.5881729125977,6.93570852279663,35.893383026123
"LUT GRIS","SUBADULT","PRESENCE",2.5,"REEF VISUAL CENSUS",288052.108960745,121379.616130508,"8",7758.42724609375,-6.21691083908081,0.0889370366930962,1.24708700180054,-0.0191459693014622,-0.0551803782582283,402,159,1.00000405311584,30.5106830596924,6.06713819503784,35.5358390808105,23.608772277832,6.93499898910522,35.9925575256348
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",287398.086089749,118456.147770705,"6",7937.888671875,-5.07904481887817,0.129973903298378,1.83547103404999,-0.242237105965614,-0.103467099368572,-13,271,1.0000239610672,30.4962043762207,6.07258081436157,35.5358390808105,23.6011543273926,6.93570852279663,35.8321723937988
"LUT GRIS","SUBADULT","PRESENCE",8.5,"REEF VISUAL CENSUS",289477.986443446,128415.135023011,"8",6884.177734375,-5.39333343505859,0.0988709926605225,1.38863396644592,0.0744876936078072,0.014267859980464,-13,382,1.00000202655792,30.481237411499,6.08189868927002,35.5358390808105,23.7112731933594,6.8665018081665,36.1851921081543
"LUT GRIS","SUBADULT","PRESENCE",3.5,"REEF VISUAL CENSUS",289791.794572703,137824.236008645,"8",8398.875,-5.94697284698486,0.0245075207203627,0.340536892414093,-0.0368366204202175,-0.0281563606113195,-13,48,1,30.3462581634521,6.12759780883789,35.5759391784668,23.6911144256592,6.87550687789917,36.0966873168945
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",286381.856010323,114367.165732897,"6",8612.0224609375,-6.80216407775879,0.271697789430618,3.78324699401855,0.125154495239258,0.156532302498817,402,271,1.00006699562073,30.4579315185547,6.088538646698,35.5358390808105,23.6441593170166,6.92614221572876,35.7668800354004
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",286370.741593193,114373.741473176,"6",8597.8798828125,-6.27048063278198,0.101077400147915,1.28131198883057,0.781701982021332,0.0865694731473923,819,326,1.00015997886658,30.4580631256104,6.08856582641602,35.5358390808105,23.6430358886719,6.92618989944458,35.7683258056641
"LUT GRIS","SUBADULT","PRESENCE",2,"REEF VISUAL CENSUS",286498.88702938,114951.750853732,"6",8489.70703125,-6.27642488479614,0.0275226291269064,0.386685699224472,-0.0881767272949219,-0.0320546701550484,-13,326,1.00000202655792,30.4643402099609,6.08550596237183,35.5358390808105,23.6314258575439,6.93144273757935,35.7635269165039
"LUT GRIS","SUBADULT","PRESENCE",3.5,"REEF VISUAL CENSUS",286487.765903183,114959.434288216,"6",8475.5654296875,-6.19995880126953,0.0306264907121658,0.420944511890411,-0.101213499903679,0.00865976419299841,-13,326,1.00000405311584,30.4644622802734,6.08553409576416,35.5358390808105,23.6303119659424,6.93147850036621,35.7651214599609
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",290804.472584245,139620.335772416,"6",10157.3876953125,-3.51431798934937,0.12469220161438,1.75479400157928,-0.0192441903054714,-0.0598715990781784,402,605,1.00000298023224,30.3337364196777,6.13025569915771,35.6036109924316,23.8210678100586,6.84422254562378,36.0161972045898
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",290687.231552222,139575.221674834,"8",10023.7490234375,-3.92951607704163,0.134773895144463,1.87726199626923,0.553255081176758,0.294603496789932,-13,493,1.00005495548248,30.3318958282471,6.13148069381714,35.6061820983887,23.8175678253174,6.84135103225708,36.0324592590332
"LUT GRIS","SUBADULT","PRESENCE",4.25,"REEF VISUAL CENSUS",271676.834429589,89151.7982969508,"6",7610.04150390625,-8.01203155517578,0.180035993456841,2.51285600662231,-0.119092896580696,-0.0436282195150852,-13,48,1.00002503395081,30.2078666687012,6.17509651184082,35.6133651733398,23.6207733154297,6.87086820602417,36.4499359130859
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",271011.472307647,89310.0421023752,"1",6878.767578125,-6.53618049621582,0.0930564031004906,1.22762703895569,0.708225309848785,0.377901405096054,402,-7,1.00006902217865,30.2390651702881,6.1694769859314,35.6271438598633,23.5530757904053,6.87914133071899,36.435417175293
