"SPECIES_CD","LIFE_STAGE","PRES","N","SOURCE","LON_M","LAT_M","Habitat","Mangrove_Dist","Depth","SD_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_DO","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_DO","Mean_Win_Sal"
"LUT GRIS","SUBADULT","PRESENCE",5.25,"REEF VISUAL CENSUS",274559.931326699,89323.4951269222,"8",10422.5546875,-8.63888835906982,0.0851656198501587,1.17460000514984,0.0502548217773438,-0.0685451030731201,-13,104,1.00001096725464,30.1459369659424,6.17739534378052,35.5250587463379,23.9094429016113,6.8570442199707,36.3472595214844
"LUT GRIS","SUBADULT","PRESENCE",2,"REEF VISUAL CENSUS",290870.494700511,143783.143751077,"6",13776.099609375,-7.39154624938965,0.0188100002706051,0.255185097455978,-0.0792732164263725,-0.0555612705647945,-13,438,1.00000095367432,30.3604011535645,6.09075450897217,35.513599395752,23.6728076934814,6.92453718185425,35.5925025939941
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",280750.665339103,104697.492516647,"1",8431.458984375,-9.53645324707031,0.0674404427409172,0.922075510025024,0.305282592773438,0.125480502843857,-13,48,1.00001502037048,30.3424377441406,6.16052293777466,35.5956611633301,23.6860961914062,6.89078330993652,36.3901252746582
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",290789.409854742,139471.775763097,"6",10080.255859375,-3.49405717849731,0.10610319674015,1.49194800853729,0.217162102460861,0.144941002130508,-13,605,1.0000079870224,30.3338928222656,6.13094711303711,35.6006813049316,23.8223609924316,6.86438035964966,36.0343322753906
"LUT GRIS","SUBADULT","ABSENCE",0,"REEF VISUAL CENSUS",290091.650834285,133742.600188923,"6",7006.8125,-4.74651765823364,0.0679189413785934,0.839494287967682,0.521736085414886,0.140204906463623,402,326,1.00007498264313,30.4108028411865,6.10989332199097,35.5109748840332,23.6665229797363,6.93538999557495,35.9874877929688
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",287789.836449315,120563.623988024,"8",7724.14208984375,-4.09854507446289,0.0567067787051201,0.768690526485443,-0.134544402360916,0.016256770119071,-13,326,1.00001001358032,30.5079345703125,6.0687198638916,35.5109748840332,23.5960559844971,6.93706321716309,35.8969650268555
"LUT GRIS","SUBADULT","PRESENCE",1.5,"REEF VISUAL CENSUS",286364.53620304,114556.495757988,"6",8518.3212890625,-6.23725652694702,0.0729886367917061,1.00130796432495,-0.144269898533821,0.0532073117792606,-13,326,1.00002801418304,30.4601249694824,6.0878849029541,35.5109748840332,23.6358242034912,6.93030738830566,35.7626991271973
"LUT GRIS","SUBADULT","PRESENCE",3.5,"REEF VISUAL CENSUS",286393.817437564,114542.281703879,"6",8554.53515625,-6.37185001373291,0.0499350912868977,0.685938119888306,0.164611801505089,-0.0296834297478199,-13,326,1.00001299381256,30.4599075317383,6.08774518966675,35.5109748840332,23.6386318206787,6.93030500411987,35.7593116760254
"LUT GRIS","SUBADULT","PRESENCE",12.069,"REEF VISUAL CENSUS",287794.209068186,120356.483609981,"8",7659.14208984375,-5.53088426589966,0.13459700345993,1.86098599433899,-0.0689716264605522,-0.0111840600147843,-13,215,1.00005400180817,30.5071868896484,6.06900835037231,35.5109748840332,23.5993995666504,6.93706321716309,35.8776893615723
"LUT GRIS","SUBADULT","PRESENCE",1.875,"REEF VISUAL CENSUS",287778.329039122,120323.144141354,"8",7637.0712890625,-5.9919319152832,0.0463611409068108,0.650381624698639,-0.099126823246479,-0.0239096693694592,-13,215,1.00000596046448,30.5070209503174,6.06908559799194,35.5109748840332,23.5986499786377,6.93706321716309,35.87744140625
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",286521.361995295,114743.620652918,"5",8594.62109375,-8.12107467651367,0.134733200073242,1.75419294834137,-0.452764511108398,-0.103592000901699,-13,215,1.00010001659393,30.4620361328125,6.0861291885376,35.5109748840332,23.6403579711914,6.93209218978882,35.7479095458984
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",286532.54029278,114727.074857899,"5",8617.9052734375,-8.47224426269531,0.102824099361897,1.37515699863434,-0.165435805916786,0.0348335318267345,-13,215,1.00007104873657,30.4617919921875,6.0861029624939,35.5109748840332,23.6422061920166,6.93201398849487,35.7460327148438
"LUT GRIS","SUBADULT","ABSENCE",0,"REEF VISUAL CENSUS",287421.59695203,119173.080986344,"6",7661.72607421875,-6.83800745010376,0.0291124898940325,0.388425797224045,-0.0471115112304688,0.00490324897691607,-13,159,1.00000298023224,30.5007610321045,6.07146549224854,35.5109748840332,23.5881729125977,6.93706321716309,35.8480186462402
"LUT GRIS","SUBADULT","PRESENCE",2.5,"REEF VISUAL CENSUS",288052.108960745,121379.616130508,"8",7758.42724609375,-6.21691083908081,0.0889370366930962,1.24708700180054,-0.0191459693014622,-0.0551803782582283,402,159,1.00000405311584,30.510684967041,6.06713819503784,35.5109748840332,23.608772277832,6.93627595901489,35.9197196960449
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",287398.086089749,118456.147770705,"6",7937.888671875,-5.07904481887817,0.129973903298378,1.83547103404999,-0.242237105965614,-0.103467099368572,-13,271,1.0000239610672,30.4962062835693,6.07258081436157,35.5109748840332,23.6011543273926,6.93706321716309,35.802604675293
"LUT GRIS","SUBADULT","PRESENCE",8.5,"REEF VISUAL CENSUS",289477.986443446,128415.135023011,"8",6884.177734375,-5.39333343505859,0.0988709926605225,1.38863396644592,0.0744876936078072,0.014267859980464,-13,382,1.00000202655792,30.4812393188477,6.08189868927002,35.5109748840332,23.7112731933594,6.88254165649414,36.0935859680176
"LUT GRIS","SUBADULT","PRESENCE",3.5,"REEF VISUAL CENSUS",289791.794572703,137824.236008645,"8",8398.875,-5.94697284698486,0.0245075207203627,0.340536892414093,-0.0368366204202175,-0.0281563606113195,-13,48,1,30.3462581634521,6.12759780883789,35.5599098205566,23.6911144256592,6.88924217224121,36.0388374328613
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",286381.856010323,114367.165732897,"6",8612.0224609375,-6.80216407775879,0.271697789430618,3.78324699401855,0.125154495239258,0.156532302498817,402,271,1.00006699562073,30.4579315185547,6.088538646698,35.5109748840332,23.6441593170166,6.92894554138184,35.7598533630371
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",286370.741593193,114373.741473176,"6",8597.8798828125,-6.27048063278198,0.101077400147915,1.28131198883057,0.781701982021332,0.0865694731473923,819,326,1.00015997886658,30.4580631256104,6.08856582641602,35.5109748840332,23.6430358886719,6.92898321151733,35.7609710693359
"LUT GRIS","SUBADULT","PRESENCE",2,"REEF VISUAL CENSUS",286498.88702938,114951.750853732,"6",8489.70703125,-6.27642488479614,0.0275226291269064,0.386685699224472,-0.0881767272949219,-0.0320546701550484,-13,326,1.00000202655792,30.4643402099609,6.08550596237183,35.5109748840332,23.6314258575439,6.93324327468872,35.7532539367676
"LUT GRIS","SUBADULT","PRESENCE",3.5,"REEF VISUAL CENSUS",286487.765903183,114959.434288216,"6",8475.5654296875,-6.19995880126953,0.0306264907121658,0.420944511890411,-0.101213499903679,0.00865976419299841,-13,326,1.00000405311584,30.4644622802734,6.08553409576416,35.5109748840332,23.6303119659424,6.93327283859253,35.7545356750488
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",290804.472584245,139620.335772416,"6",10157.3876953125,-3.51431798934937,0.12469220161438,1.75479400157928,-0.0192441903054714,-0.0598715990781784,402,605,1.00000298023224,30.3337364196777,6.13025569915771,35.5997314453125,23.8210678100586,6.86494588851929,36.0262260437012
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",290687.231552222,139575.221674834,"8",10023.7490234375,-3.92951607704163,0.134773895144463,1.87726199626923,0.553255081176758,0.294603496789932,-13,493,1.00005495548248,30.3318958282471,6.13148069381714,35.6034698486328,23.8175678253174,6.86271715164185,36.0416679382324
"LUT GRIS","SUBADULT","PRESENCE",4.25,"REEF VISUAL CENSUS",271676.834429589,89151.7982969508,"6",7610.04150390625,-8.01203155517578,0.180035993456841,2.51285600662231,-0.119092896580696,-0.0436282195150852,-13,48,1.00002503395081,30.2078666687012,6.17509651184082,35.5940933227539,23.6207733154297,6.88298082351685,36.462963104248
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",271011.472307647,89310.0421023752,"1",6878.767578125,-6.53618049621582,0.0930564031004906,1.22762703895569,0.708225309848785,0.377901405096054,402,-7,1.00006902217865,30.2390651702881,6.1694769859314,35.6072387695312,23.5530757904053,6.88934898376465,36.4535713195801
"LUT GRIS","SUBADULT","PRESENCE",7.5,"REEF VISUAL CENSUS",271428.652829343,90709.1252184317,"1",6718.86865234375,-5.85136651992798,0.72647362947464,10.1704502105713,0.389720886945724,0.268972188234329,402,48,1.00009596347809,30.2975997924805,6.15773630142212,35.6762237548828,23.5291137695312,6.88734865188599,36.4490699768066
"LUT GRIS","SUBADULT","PRESENCE",5.125,"REEF VISUAL CENSUS",271441.533088975,90752.3959956616,"1",6712.30029296875,-5.61251926422119,0.456678509712219,6.31266117095947,2.25206398963928,1.31105399131775,402,48,1.00082695484161,30.2992458343506,6.15737247467041,35.6785507202148,23.5279674530029,6.88735580444336,36.4486236572266
"LUT GRIS","SUBADULT","PRESENCE",2.625,"REEF VISUAL CENSUS",270812.513977264,87625.1992329645,"1",7381.71728515625,-4.08933687210083,0.194970399141312,2.50002002716064,0.85486888885498,0.178223595023155,819,215,1.00028300285339,30.1486034393311,6.18449735641479,35.5843391418457,23.5857200622559,6.88786315917969,36.4388656616211
"LUT GRIS","SUBADULT","PRESENCE",14.25,"REEF VISUAL CENSUS",274163.554176257,88782.9487778706,"8",10253.30078125,-10.1027908325195,0.421799302101135,5.76068305969238,-1.42855799198151,-0.608391523361206,402,104,1.00047695636749,30.1331634521484,6.17837285995483,35.523265838623,23.8665504455566,6.86714172363281,36.3582038879395
"LUT GRIS","SUBADULT","PRESENCE",1.5,"REEF VISUAL CENSUS",275184.894679216,90096.8423525925,"8",10728.6103515625,-11.844126701355,0.331901997327805,4.64692401885986,-0.412723511457443,0.126553893089294,-13,-7,1.00020694732666,30.1706199645996,6.17225503921509,35.5212593078613,23.9328460693359,6.85855197906494,36.3342399597168
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",270882.346286132,87771.7878738374,"1",7391.65625,-8.02047252655029,0.527820289134979,7.23746919631958,1.04478597640991,-0.384115010499954,-13,-7,1.00092005729675,30.155143737793,6.18347644805908,35.5826835632324,23.5880298614502,6.88808012008667,36.4420623779297
"LUT GRIS","SUBADULT","PRESENCE",5,"REEF VISUAL CENSUS",270246.705501364,86459.1151981318,"1",7426.0322265625,-3.06442260742188,0.182110294699669,2.50765204429626,-0.71026611328125,-0.293585985898972,819,215,1.00012695789337,30.0928058624268,6.19332218170166,35.6288833618164,23.5677051544189,6.87975835800171,36.4069366455078
"LUT GRIS","SUBADULT","PRESENCE",20.682,"REEF VISUAL CENSUS",274307.569988891,89186.9651674919,"8",10230.5439453125,-9.00078678131104,0.0431149303913116,0.598661422729492,0.107673600316048,0.00163992203306407,-13,104,1.00000500679016,30.1450748443604,6.17809009552002,35.5273742675781,23.884693145752,6.86045551300049,36.3616752624512
"LUT GRIS","SUBADULT","PRESENCE",5,"REEF VISUAL CENSUS",274869.005384949,89964.3811697563,"6",10467.4580078125,-7.1547589302063,0.204805001616478,2.79934692382812,-0.127164795994759,0.0279435906559229,-13,215,1.00005495548248,30.1652851104736,6.17559623718262,35.5264701843262,23.9297866821289,6.85201597213745,36.3469009399414
"LUT GRIS","SUBADULT","PRESENCE",17.25,"REEF VISUAL CENSUS",265845.0988869,77704.7492723663,"8",10140.05859375,-16.8157768249512,0.288647204637527,4.00098705291748,-0.708839416503906,-0.288359791040421,-13,-340,1.00016605854034,29.9983043670654,6.18435955047607,35.5251808166504,23.7461471557617,6.92886972427368,36.1916007995605
"LUT GRIS","SUBADULT","PRESENCE",4.125,"REEF VISUAL CENSUS",270865.606030157,87694.1570759006,"1",7402.72216796875,-5.61848402023315,0.393430799245834,5.41503000259399,-1.13099694252014,-0.691037476062775,402,104,1.00032901763916,30.1512985229492,6.18406200408936,35.5832366943359,23.5880870819092,6.88792991638184,36.4405174255371
"LUT GRIS","SUBADULT","PRESENCE",15.429,"REEF VISUAL CENSUS",265510.933492278,77727.5133541628,"6",9981.296875,-5.35770893096924,0.162310793995857,2.26814603805542,0.214124694466591,0.0143280103802681,402,215,1.00001299381256,30.0118007659912,6.18447494506836,35.5304222106934,23.7518081665039,6.92423820495605,36.2202758789062
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",265540.954695541,77780.8288529226,"6",9938.7236328125,-6.32210159301758,0.0843724235892296,1.0835599899292,0.32818791270256,0.0144870597869158,-13,159,1.00005602836609,30.0108985900879,6.1847357749939,35.529296875,23.7479190826416,6.92451572418213,36.2230224609375
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",274432.277009661,89432.4657400951,"6",10254.0625,-6.48502779006958,0.0884401872754097,1.25776100158691,0.185024306178093,0.0198259707540274,402,271,1.00001299381256,30.1513786315918,6.17785787582397,35.5288429260254,23.8991603851318,6.85619926452637,36.3599700927734
"LUT GRIS","SUBADULT","PRESENCE",53,"REEF VISUAL CENSUS",274451.532836804,89414.8467209831,"6",10275.275390625,-6.62114953994751,0.103062897920609,1.44449305534363,-0.0335025787353516,0.133281201124191,402,215,1.00003802776337,30.1506042480469,6.17781925201416,35.5283241271973,23.9005107879639,6.85628271102905,36.3583831787109
"LUT GRIS","SUBADULT","PRESENCE",2,"REEF VISUAL CENSUS",262903.661536017,74970.3001101165,"6",9002.6611328125,-6.65176296234131,0.0781487971544266,1.04267001152039,-0.0332279205322266,-0.0276541896164417,-13,159,1.00002098083496,30.1215896606445,6.16453838348389,35.5858345031738,23.9137363433838,6.8956036567688,36.1074333190918
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",262887.546662662,74962.4719011217,"6",8991.8037109375,-6.89009809494019,0.0677602589130402,0.937680780887604,-0.0244522094726562,0.0517030917108059,-13,104,1.00000405311584,30.1224880218506,6.16434860229492,35.5856246948242,23.9140110015869,6.89548969268799,36.1066780090332
"LUT GRIS","SUBADULT","PRESENCE",18.25,"REEF VISUAL CENSUS",263125.255823964,75074.3399053849,"6",9179.1689453125,-6.55749273300171,0.188403099775314,2.65480804443359,-0.283138304948807,-0.16173329949379,-13,159,1.00001204013824,30.108943939209,6.16685342788696,35.5868072509766,23.9099769592285,6.89834880828857,36.1140365600586
"LUT GRIS","SUBADULT","PRESENCE",23.5,"REEF VISUAL CENSUS",263108.009142798,75093.0917603903,"6",9157.9560546875,-5.90101432800293,0.110284999012947,1.5427360534668,0.0599956512451172,-0.0306353606283665,-13,159,1.00000596046448,30.1095161437988,6.16694021224976,35.5876731872559,23.909854888916,6.89775609970093,36.1161346435547
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",290462.761216294,137565.094062908,"6",8966.1796875,-7.65437126159668,0.152272805571556,2.02592492103577,1.10270297527313,0.529691219329834,402,271,1.00020897388458,30.3547859191895,6.12656688690186,35.5560188293457,23.7491073608398,6.89172124862671,35.9916801452637
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",274902.629096589,90084.2064756098,"6",10452.751953125,-6.75546932220459,0.0865073129534721,1.19862902164459,-0.12513729929924,-9.55160794546828e-05,402,271,1.00001001358032,30.1710662841797,6.17457818984985,35.5265846252441,23.9230155944824,6.85438776016235,36.3508529663086
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",271196.275982182,90221.5947940706,"8",6686.83349609375,-4.21693897247314,0.0695629268884659,0.942360281944275,0.0878086090087891,-0.0184024907648563,-13,104,1.00002098083496,30.2812557220459,6.16097784042358,35.6488761901855,23.5310039520264,6.88875484466553,36.4492263793945
"LUT GRIS","SUBADULT","PRESENCE",11.25,"REEF VISUAL CENSUS",271909.609483338,91279.9487653146,"8",6962.76708984375,-5.6309552192688,0.210354894399643,2.87609004974365,0.873254776000977,-0.0321595817804337,402,48,1.00024902820587,30.3086471557617,6.15592432022095,35.6838836669922,23.5485496520996,6.8861780166626,36.4477844238281
"LUT GRIS","SUBADULT","PRESENCE",21.5,"REEF VISUAL CENSUS",271849.180968558,91267.4436098424,"8",6908.97998046875,-5.65090560913086,0.0231421403586864,0.315046012401581,-0.139932602643967,-0.0884919464588165,-13,48,1.00000405311584,30.3100109100342,6.1555233001709,35.6870765686035,23.5428714752197,6.88642549514771,36.4470443725586
"LUT GRIS","SUBADULT","PRESENCE",29.999,"REEF VISUAL CENSUS",282365.222128858,124780.047082972,"3",999.264099121094,-5.61981964111328,0.00714687909930944,0.0953065827488899,0.0293178595602512,0.00785782374441624,-13,-7,1,30.4340972900391,5.99573040008545,35.5109748840332,22.9553623199463,6.93784713745117,36.4292068481445
"LUT GRIS","SUBADULT","PRESENCE",11,"REEF VISUAL CENSUS",281492.096762813,122812.721920941,"1",619.055908203125,-5.13453483581543,0.0171178802847862,0.206875994801521,0.17133329808712,0.060658898204565,-13,-7,1.00000596046448,30.439510345459,5.98553419113159,35.5109748840332,22.9266357421875,6.93706321716309,36.2407836914062
"LUT GRIS","SUBADULT","PRESENCE",8.75,"REEF VISUAL CENSUS",281463.06745573,122789.280953318,"1",597.340209960938,-5.4697642326355,0.0409519113600254,0.567829787731171,0.0287571009248495,-0.00353951007127762,-13,-7,1.00000202655792,30.439208984375,5.98504734039307,35.5109748840332,22.9242343902588,6.93706321716309,36.2345008850098
"LUT GRIS","SUBADULT","PRESENCE",19.5,"REEF VISUAL CENSUS",283455.827025339,123593.640327356,"1",2244.70556640625,-5.53741025924683,0.0742571428418159,1.01644599437714,0.235290497541428,-0.0318126603960991,-13,48,1.00003004074097,30.4642601013184,6.01846408843994,35.5109748840332,23.1110649108887,6.93704080581665,36.5310821533203
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",283425.714226559,123583.482344322,"1",2218.84765625,-5.27677965164185,0.0073453257791698,0.0947481319308281,-0.000892639218363911,0.0167121104896069,-13,48,1.00000095367432,30.4638824462891,6.0179705619812,35.5109748840332,23.108039855957,6.93705320358276,36.5283813476562
"LUT GRIS","SUBADULT","PRESENCE",16,"REEF VISUAL CENSUS",283181.77319579,126422.49071806,"3",1053.05090332031,-5.20786142349243,0.0100545398890972,0.138629496097565,0.0013370510423556,-0.0134929995983839,-13,-7,1,30.4329147338867,6.00999307632446,35.5161476135254,22.9966220855713,6.94797468185425,36.5540771484375
"LUT GRIS","SUBADULT","PRESENCE",7.367,"REEF VISUAL CENSUS",283177.613161354,126444.621896208,"1",1042.69555664062,-5.18187141418457,0.00501053407788277,0.067692756652832,-0.0198764801025391,0.00737961195409298,-13,-7,1,30.4326515197754,6.00996685028076,35.5164947509766,22.9957981109619,6.94821786880493,36.5540733337402
"LUT GRIS","SUBADULT","PRESENCE",144.375,"REEF VISUAL CENSUS",264102.848432743,88500.2958191735,"5",994.594177246094,-5.01919507980347,0.00541436998173594,0.0739786922931671,-0.00869941711425781,0.00591203710064292,-13,-7,1,30.5264549255371,6.06545877456665,35.6948738098145,23.1371212005615,6.91643381118774,35.6614761352539
"LUT GRIS","SUBADULT","PRESENCE",260.625,"REEF VISUAL CENSUS",264099.817987085,88501.3892913359,"5",989.594177246094,-5.01092052459717,0.00717099709436297,0.100257501006126,0.00652122497558594,0.00785133522003889,-13,-7,1,30.5266819000244,6.06535482406616,35.6951179504395,23.1369094848633,6.916419506073,35.6604499816895
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",277925.299136815,113062.612997877,"8",2189.9599609375,-4.40232610702515,0.00606765411794186,0.085119903087616,-0.00299453688785434,8.58544226503e-05,-13,-7,0.99999988079071,30.4879455566406,6.0356822013855,35.5532150268555,22.9251537322998,6.94204235076904,36.0136833190918
"LUT GRIS","SUBADULT","PRESENCE",4,"REEF VISUAL CENSUS",280951.13649377,120273.606306369,"2",810,-4.98317575454712,0.0170825496315956,0.23467630147934,0.127115204930305,0.0558770895004272,-13,-7,1.00000298023224,30.456995010376,5.99343395233154,35.5109748840332,22.951976776123,6.93710947036743,36.1072807312012
"LUT GRIS","SUBADULT","PRESENCE",5,"REEF VISUAL CENSUS",283573.740604839,125493.227795877,"1",1833.26953125,-5.01126289367676,0.0446779802441597,0.619376480579376,-0.0276489295065403,0.0538644008338451,402,48,1.00000298023224,30.4498233795166,6.0179181098938,35.5109748840332,23.0728874206543,6.93938827514648,36.5876617431641
"LUT GRIS","SUBADULT","PRESENCE",7,"REEF VISUAL CENSUS",283551.346154135,125536.294310403,"1",1789.6298828125,-5.21134090423584,0.0852510780096054,1.18683898448944,0.319984406232834,0.145353496074677,-13,48,1.00001502037048,30.4489498138428,6.01751518249512,35.5109748840332,23.0686092376709,6.93974637985229,36.5860595703125
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",278323.191097469,108510.689918534,"1",4426.23388671875,-7.58209419250488,0.00942119304090738,0.133204698562622,-0.00997734069824219,-0.00458221882581711,-13,-7,1,30.4588375091553,6.10899209976196,35.5215225219727,23.2489013671875,6.9382381439209,36.1733055114746
"LUT GRIS","SUBADULT","PRESENCE",5.5,"REEF VISUAL CENSUS",280762.844685365,108723.371392394,"5",6779.2490234375,-9.28497219085693,0.0992358103394508,1.3718090057373,0.328777313232422,0.171195402741432,-13,-7,1.00002205371857,30.4165744781494,6.12942600250244,35.5109748840332,23.4639949798584,6.91511726379395,36.2552604675293
"LUT GRIS","SUBADULT","PRESENCE",5.25,"REEF VISUAL CENSUS",286382.44501688,124758.803441281,"1",4879.3564453125,-5.80508899688721,0.206088095903397,2.85090208053589,0.628005981445312,0.229133099317551,819,159,1.00013303756714,30.4929981231689,6.056067943573,35.5109748840332,23.4182872772217,6.91548252105713,36.5494766235352
"LUT GRIS","SUBADULT","PRESENCE",1.5,"REEF VISUAL CENSUS",286757.29760505,128532.38301849,"3",4211.8125,-8.30071544647217,0.116847798228264,1.63582503795624,-0.165992707014084,-0.152834504842758,-13,-7,1.00000894069672,30.4658336639404,6.07015085220337,35.5311660766602,23.401819229126,6.9199686050415,36.6107292175293
"LUT GRIS","SUBADULT","PRESENCE",0.5,"REEF VISUAL CENSUS",282986.125539348,114791.152620709,"1",5660.64111328125,-5.81953525543213,0.14215199649334,1.86188995838165,0.732717514038086,0.111209601163864,819,104,1.00014805793762,30.4724025726318,6.09160566329956,35.5155487060547,23.3370494842529,6.93106603622437,36.1344375610352
"LUT GRIS","SUBADULT","PRESENCE",8.5,"REEF VISUAL CENSUS",281850.675965399,114806.356087945,"1",4878.62060546875,-7.18803071975708,0.049856461584568,0.672007918357849,-0.085933692753315,0.0724966675043106,-13,-7,1.0000159740448,30.4778156280518,6.08402490615845,35.5305976867676,23.2250862121582,6.93569898605347,36.1923637390137
"LUT GRIS","SUBADULT","PRESENCE",0.333,"REEF VISUAL CENSUS",286616.976080958,131413.031421806,"1",3733.2841796875,-6.39984798431396,0.0356159806251526,0.488704800605774,0.00466156005859375,0.0625949203968048,-13,48,1.00001001358032,30.427360534668,6.08541965484619,35.552417755127,23.3009490966797,6.95915842056274,36.5632591247559
"LUT GRIS","SUBADULT","PRESENCE",1,"REEF VISUAL CENSUS",281853.80320928,114788.6498137,"1",4889.83349609375,-7.03428173065186,0.0919309630990028,1.3225439786911,0.13167379796505,0.0867199078202248,-13,-7,1.00001096725464,30.4777202606201,6.08420848846436,35.5305442810059,23.2262687683105,6.9355902671814,36.1923408508301
