"BASIN","SITE","LON_M","LAT_M","MEAN_SUM_TEMP","SD_SUM_TEMP","MEAN_SUM_SAL","SD_SUM_SAL","MEAN_SUM_DO","SD_SUM_DO","optional"
"FK","Fowey Rocks",290413.44568122,139502.456157692,30.05284,0.994935687871332,35.61218,0.745471647348174,6.195186,0.0936609984465251,TRUE
"FK","Sands Key",283938.992408443,130597.182280952,30.78252,1.23904065994623,35.68066,1.10353897212559,6.122208,0.132516120415593,TRUE
"FK","Old Rhodes Key",278999.353245816,114440.353425911,30.66086,1.22283855353027,35.59646,0.889153883194579,6.137824,0.126204202901488,TRUE
"FK","Pennekamp G27",274346.628542351,108149.206010077,30.7931,1.03685832204791,35.70572,1.01291171974659,6.11972,0.115944433027205,TRUE
"FK","Turtle Reef",281820.181242345,103233.853766507,29.69044,0.678463803750797,35.68836,0.724095855532954,6.228266,0.0590144366235922,TRUE
"FK","Carysfort Channel",271637.400261312,100245.978945531,30.9781,0.643299541426854,35.90452,1.11380379645609,6.096142,0.0859863100731738,TRUE
"FK","Rattlesnake Key",266545.442725131,93202.2818367265,31.32114,0.719269899272867,36.01016,1.40106827563827,6.059696,0.0977580844738683,TRUE
"FK","White Bank",271120.308941014,91635.8204706023,30.2786,0.944311826146427,35.7437,0.757781624216371,6.169194,0.0915527428862728,TRUE
"FK","The Elbow",274815.592405792,89775.764824878,29.82272,0.662064488550776,35.5261,1.05773356049621,6.220204,0.0518867018608815,TRUE
"FK","Radabob Key",263192.144804493,86565.2293249451,31.15134,0.795118335846936,35.97748,1.26194871409262,6.077146,0.0984339109758421,TRUE
"FK","Dixie Shoal",269332.232890413,82033.3674270386,28.5173,0.908838134653251,36.08584,0.191674445349402,6.33358,0.0884810897875927,TRUE
"FK","Mosquito Bank",258204.901161647,80631.0229782319,31.03054,0.803573554816235,35.7616,1.06129285308062,6.096536,0.10325962148875,TRUE
"FK","Molasses Reef Channel",261029.453363482,77391.05900415,29.8869,0.575803859834232,35.7457,0.680928494777536,6.206836,0.0468307775933735,TRUE
"FK","Molasses Reef",263849.320543408,75873.0531556761,29.66628,0.641922913596328,35.60056,0.900123415427016,6.233212,0.0520419645094223,TRUE
"FK","Tavernier Harbor",250319.667678886,74863.9444601849,31.34252,0.927355070617505,36.19918,0.989422024214136,6.052118,0.113646395103408,TRUE
"FK","Triangles",253005.538075898,74128.5981462304,30.7569,0.512469950338554,35.83518,0.739942603855191,6.118702,0.0668002722299841,TRUE
"FK","Grecian Rocks",269955.03705188,85905.9481974783,29.96326,0.813054486489067,35.68298,0.740819280931592,6.200782,0.0720807739275878,TRUE
"FK","Plantation Point",244213.47355885,68387.2109454314,30.82412,0.667001586954634,36.35582,1.03241028036338,6.09459,0.0953851804527308,TRUE
"FK","The Rocks",245283.722193344,67230.9515835503,30.60692,0.335155772738587,35.85136,0.862537873371368,6.131538,0.0531494983043115,TRUE
"FK","Davis Reef",250200.063953307,65625.2817146383,30.05394,0.479498063604015,35.71268,0.885298772731556,6.190294,0.0473908860436264,TRUE
"FK","Upper Matecumbe Key",240551.176300679,65818.2572503854,30.96462,0.374871080506353,36.09518,0.992151831626591,6.090164,0.0646876949658899,TRUE
"FK","Lower Matecumbe Key",233482.742549666,59618.4177462345,31.15124,1.24160854660396,36.97572,1.53279232676837,6.046402,0.159159052271619,TRUE
"FK","Alligator Reef",235472.307139538,55350.0385072088,29.91924,0.671139857257785,35.71288,0.761423579225126,6.204814,0.061016659856141,TRUE
"FK","Lower Matecumbe Channel",228693.713595995,51964.7959525472,30.32974,0.901294803602017,36.0715,1.11159195750959,6.15282,0.113967843929768,TRUE
"FK","Long Key",219321.177287493,51975.0853167899,31.2939,1.1399140932544,36.59916,1.29945036188383,6.043264,0.145385880091569,TRUE
"FK","Long Key Channel",218984.144454044,50759.5372966913,30.8128,0.781546172660322,36.21418,1.08133899726219,6.101328,0.104725490545521,TRUE
"FK","Tennessee Reef",221916.528409015,45613.3643961961,30.18594,1.00024837815415,36.18796,1.31656723071782,6.164168,0.12798599403841,TRUE
"FK","Long Key Pass Inshore",213819.033455736,50956.1030626998,31.24404,1.06759904599058,37.41472,1.63468306622415,6.02276,0.147411298244063,TRUE
"FK","Key Colony Beach",198871.873914895,42071.6062645928,31.0471,1.09029202510153,36.67546,1.57746701328427,6.06536,0.148997628001254,TRUE
"FK","Coffins Patch Channel",203372.816289833,39689.4804362449,30.34256,0.69733454166562,35.9174,0.676567199175367,6.156474,0.079334689638266,TRUE
"FK","Coffins Patch Offshore",204220.376428202,37843.3146200207,30.07876,0.566421634473826,35.86756,0.590533206517635,6.184118,0.0624128093423135,TRUE
"FK","Bahia Honda Key",173174.12473416,35976.7519465106,30.3014,0.745374362317353,36.65216,0.501613619232972,6.135002,0.0793003525843359,TRUE
"FK","Bahia Honda Channel",175387.846389119,31958.6400229389,30.45096,0.609999006556569,36.27438,0.500088224216488,6.133228,0.0624759903482928,TRUE
"FK","Big Pine Shoal",167417.182294319,26291.8042865353,30.4946,0.605924384721394,36.13764,0.70864365022203,6.133854,0.0618761527569384,TRUE
"FK","Newfound Harbor Keys",157817.82535297,32423.8988452228,30.46004,0.818108821001217,36.34902,0.692539924480892,6.130562,0.0911344642273162,TRUE
"FK","Looe Key",159737.182071843,23881.7160928289,30.18068,0.410269200647574,35.84768,0.467704978592275,6.1741,0.0319941815022671,TRUE
"FK","American Shoal",150624.083678857,21878.4387830151,30.34834,0.543477550594319,35.98874,0.401703694282242,6.15212,0.0551787957461922,TRUE
"FK","Arsenic Bank",211621.078540647,59077.5161797835,31.0147,1.09999022950206,37.4246,0.962354448734978,6.04233,0.12664340527639,TRUE
"FK","Tripod Bank",204210.532136223,60180.9007192158,31.02214,1.12116282403583,37.04812,0.608575625538847,6.053352,0.115638851473024,TRUE
"FK","Channel Key Pass",208059.601875589,52795.7553525286,31.20386,1.00183074818055,37.2208,0.813076647678434,6.031334,0.107576503150084,TRUE
"FK","Bluefish Bank",178148.613475047,58646.8907121853,31.2613,0.831581291877108,36.77648,0.835907194011394,6.04014,0.102064580291108,TRUE
"FK","Bullard Bank",185161.514989998,53559.003053473,31.29504,1.08472109456763,36.91696,0.919279230158061,6.034002,0.128585444821722,TRUE
"FK","John Sawyer Bank",188624.12496568,47607.7161424751,31.39438,1.23919082953353,37.26364,0.962793637286827,6.013366,0.143102872018699,TRUE
"FK","Bullfrog Banks",164502.78272137,57452.4434810175,30.51468,0.186771483369383,36.50746,0.163397760082568,6.11868,0.0175649039280037,TRUE
"FK","W. Bahia Honda Key",170769.936678563,50779.6301171884,30.17676,0.605888626729369,36.814,0.2146042520548,6.142564,0.0525004121888581,TRUE
