"Variables","VIF"
"Habitat",1.10713022430137
"Mangrove_Dist",1.76872366981684
"Depth",3.60286176179359
"Slope",1.76007556315418
"Curvature",1.12814260005895
"BPI_Fine",1.21204626312934
"BPI_Broad",2.37028713963924
"Rugosity",1.45513405157691
"Mean_Sum_Temp",1.29728719922539
"Mean_Sum_Sal",1.7754338257578
"Mean_Win_Sal",2.27881056786508
